aceleradorX,aceleradorY,aceleradorZ,modulo
-0.5477905,-0.3114624,8.305405,69.37683
-0.45199585,-0.8670502,10.202087,105.038666
-0.98843384,-1.6142273,10.73851,118.89833
-1.7739258,-1.0394745,8.209625,71.62527
-1.4290771,-0.71377563,8.018036,66.84064
-1.2758026,-0.48388672,8.305405,70.84156
-1.2758026,-0.1773529,7.558243,58.78616
-1.0267487,-0.06239319,7.9414063,64.12404
-1.2566528,-0.1773529,7.8647766,63.46534
-1.0842285,0.03338623,8.535309,74.02816
-1.0267487,-0.10072327,8.918472,80.60351
-1.4099121,-0.46472168,9.838074,98.991516
-0.9118042,-0.34977722,10.278717,106.60575
-0.56695557,-0.48388672,10.527771,111.38955
0.007797241,-0.4455719,10.087128,101.94874
-0.10714722,-0.38809204,9.47406,89.91991
1.6937256,-1.4034729,11.485687,136.75945
1.4063568,-2.1889648,12.386124,160.18547
-0.9118042,-2.438034,9.742279,101.6874
1.1572876,-1.1352692,9.320801,89.50548
1.4255066,-1.1161041,9.569855,94.85988
0.6974945,-0.637146,7.654022,59.47651
0.27601624,-0.8670502,7.6731873,59.705765
0.3909607,-0.56051636,8.056351,65.37181
0.7932892,0.03338623,8.113831,66.46467
0.6016998,-0.08155823,8.535309,73.22019
-0.10714722,-0.27314758,8.075516,65.30004
0.35264587,-0.02407837,8.611938,74.29042
0.563385,-0.48388672,10.1254425,103.07614
0.007797241,-0.15818787,9.838074,96.81278
-0.10714722,-0.10072327,9.60817,92.338554
-0.030517578,-0.27314758,10.010498,100.28561
-0.12631226,-0.02407837,9.914703,98.31788
-0.1454773,-0.08155823,9.972183,99.47225
-0.011367798,-1.441803,11.274948,129.20338
-0.98843384,-1.8632813,10.642731,117.71654
-1.3524475,-1.0777893,8.669418,78.14956
-0.62442017,-1.3843231,10.087128,104.0564
-0.85432434,-1.7100067,10.681046,117.73872
-0.98843384,-1.173584,8.822693,80.194214
-0.85432434,-1.0203094,8.535309,74.6224
-0.98843384,-0.7329407,7.8456116,63.06782
-0.6435852,-0.46472168,7.9030914,63.089024
-0.5094757,-0.06239319,7.500763,56.524902
-0.66275024,-0.21566772,8.420364,71.38828
-1.1033783,0.45487976,8.343735,71.042274
-1.0650635,0.07171631,9.569855,92.72163
-0.8160095,-0.7329407,11.619797,136.22276
-1.4290771,-0.56051636,10.048813,103.335075
-0.39453125,-0.29229736,8.861008,78.758545
0.6591797,-2.6104584,12.347809,159.71739
-0.7393799,-2.1889648,8.765213,82.167206
0.6016998,-1.441803,10.106293,104.577995
0.563385,-0.79042053,8.956787,81.16621
0.18022156,-0.8095703,8.669418,75.846695
-0.2029419,-0.96284485,8.975952,81.53597
-0.030517578,-0.02407837,7.6731873,58.879314
